sku,nombre,stock,precio
PX-P001,Pienso Royal Canin Medium Adult 15kg,18,62.9
PX-P002,Pienso Acana Pacifica 11.4kg,240,79.5
PX-P003,Pienso True Instinct High Meat 12kg,12,54.9
PX-P004,Pienso gato Purizon Adult 6.5kg,30,34.9
PX-P005,Pienso cachorro Advance Puppy 12kg,4,48.5
PX-A001,Cama ortopedica perro grande XL,2,89.0
PX-A002,Transportin rigido IATA mediano,28,64.5
PX-A003,Arnes antitirones talla M rojo,15,24.9
PX-A004,Arnes antitirones talla S rosa,95,24.9
PX-A005,Juguete Kong Classic L,22,16.9
PX-H001,Arena gato aglomerante 10L,20,12.5
PX-H002,Champu perro pelo blanco 500ml,60,11.9
PX-S001,Snacks dentales pack 28 uds,70,18.9
PX-S002,Snack natural oreja de cerdo x10,10,9.9
PX-INV1,Abrigo perro invierno talla L,48,29.9
PX-INV2,Botas nieve perro set 4,35,19.9
