fecha,sku,unidades
2026-04-05,PX-P001,5
2026-04-06,PX-P001,2
2026-04-07,PX-P001,4
2026-04-08,PX-P001,5
2026-04-09,PX-P001,5
2026-04-10,PX-P001,5
2026-04-11,PX-P001,5
2026-04-12,PX-P001,5
2026-04-13,PX-P001,6
2026-04-14,PX-P001,4
2026-04-15,PX-P001,6
2026-04-16,PX-P001,7
2026-04-17,PX-P001,3
2026-04-18,PX-P001,3
2026-04-19,PX-P001,3
2026-04-20,PX-P001,9
2026-04-21,PX-P001,5
2026-04-22,PX-P001,3
2026-04-23,PX-P001,5
2026-04-24,PX-P001,2
2026-04-25,PX-P001,5
2026-04-26,PX-P001,3
2026-04-27,PX-P001,3
2026-04-28,PX-P001,7
2026-04-29,PX-P001,6
2026-04-30,PX-P001,1
2026-05-01,PX-P001,2
2026-05-03,PX-P001,2
2026-05-04,PX-P001,1
2026-05-05,PX-P001,3
2026-05-06,PX-P001,4
2026-05-07,PX-P001,7
2026-05-08,PX-P001,2
2026-05-09,PX-P001,3
2026-05-10,PX-P001,3
2026-05-11,PX-P001,4
2026-05-12,PX-P001,5
2026-05-13,PX-P001,3
2026-05-14,PX-P001,6
2026-05-15,PX-P001,7
2026-05-16,PX-P001,4
2026-05-17,PX-P001,6
2026-05-18,PX-P001,4
2026-05-19,PX-P001,4
2026-05-20,PX-P001,5
2026-05-21,PX-P001,6
2026-05-22,PX-P001,6
2026-05-23,PX-P001,2
2026-05-24,PX-P001,6
2026-05-25,PX-P001,2
2026-05-26,PX-P001,6
2026-05-27,PX-P001,4
2026-05-28,PX-P001,4
2026-05-29,PX-P001,3
2026-05-30,PX-P001,3
2026-05-31,PX-P001,2
2026-06-01,PX-P001,2
2026-06-02,PX-P001,2
2026-06-03,PX-P001,3
2026-06-04,PX-P001,3
2026-06-05,PX-P001,8
2026-06-06,PX-P001,4
2026-06-07,PX-P001,5
2026-06-08,PX-P001,5
2026-06-09,PX-P001,3
2026-06-10,PX-P001,5
2026-06-11,PX-P001,4
2026-06-12,PX-P001,3
2026-06-13,PX-P001,5
2026-06-14,PX-P001,7
2026-06-15,PX-P001,3
2026-06-16,PX-P001,3
2026-06-17,PX-P001,4
2026-06-18,PX-P001,6
2026-06-19,PX-P001,8
2026-06-20,PX-P001,7
2026-06-21,PX-P001,5
2026-06-22,PX-P001,6
2026-06-23,PX-P001,4
2026-06-24,PX-P001,7
2026-06-25,PX-P001,5
2026-06-26,PX-P001,4
2026-06-27,PX-P001,4
2026-06-28,PX-P001,3
2026-06-29,PX-P001,4
2026-06-30,PX-P001,7
2026-07-01,PX-P001,5
2026-07-02,PX-P001,2
2026-07-03,PX-P001,4
2026-04-05,PX-P002,1
2026-04-08,PX-P002,3
2026-04-09,PX-P002,3
2026-04-10,PX-P002,2
2026-04-11,PX-P002,2
2026-04-12,PX-P002,2
2026-04-13,PX-P002,2
2026-04-14,PX-P002,4
2026-04-15,PX-P002,1
2026-04-16,PX-P002,2
