fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,pvp_base,precio_venta,coste_unitario,margen_bruto,margen_pct,precio_min_viable,descuento_pct,promocion_activa,ingreso_estimado,margen_estimado_eur,precio_decathlon,precio_trailzone,precio_outdoorpro,precio_comp_min,precio_comp_avg,precio_comp_max,var_precio_comp_min_7d,alerta_bajada_competidor,ratio_precio_mercado,diferencia_precio_min,diferencia_precio_avg,diferencia_comp_max,volatilidad_comp,dia_semana,es_fin_semana,mes,trimestre,semana_anio,es_festivo,es_blackfriday,es_navidad,es_semana_santa,es_verano,es_primavera,stock_disponible,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d
2023-01-31,SKU-001,Mochila trail 20L,Mochilas,Shopify,1,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,49.87,27.87,48.82,45.17,49.57,45.17,47.85,49.57,-0.1309,1,1.0422,4.7,2.02,4.4,0.092,1,0,1,1,5,0,0,0,0,0,0,0,3.0,3.0,4.0,2.71,2.57
2023-02-01,SKU-001,Mochila trail 20L,Mochilas,Shopify,3,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,149.61,83.61,47.38,51.19,52.7,47.38,50.42,52.7,-0.0975,1,0.9891,2.49,-0.55,5.32,0.1055,2,0,2,1,5,0,0,0,0,0,0,0,1.0,1.0,3.0,2.43,2.47
2023-02-02,SKU-001,Mochila trail 20L,Mochilas,Shopify,4,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,199.48,111.48,48.02,46.95,48.28,46.95,47.75,48.28,0.0446,0,1.0444,2.92,2.12,1.33,0.0279,3,0,2,1,5,0,0,0,0,0,0,0,3.0,2.0,2.0,2.71,2.47
2023-02-03,SKU-001,Mochila trail 20L,Mochilas,Shopify,0,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,0.0,0.0,44.64,48.79,47.48,44.64,46.97,48.79,-0.1036,1,1.0617,5.23,2.9,4.15,0.0884,4,0,2,1,5,0,0,0,0,0,0,0,4.0,1.0,1.0,3.0,2.53
2023-02-04,SKU-001,Mochila trail 20L,Mochilas,Shopify,0,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,0.0,0.0,47.49,47.15,46.05,46.05,46.9,47.49,-0.0502,1,1.0633,3.82,2.97,1.44,0.0307,5,1,2,1,5,0,0,0,0,0,0,0,0.0,5.0,2.0,2.86,2.5
2023-02-05,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,41.33,48.68,49.77,41.33,46.59,49.77,-0.1648,1,1.0704,8.54,3.28,8.44,0.1812,6,1,2,1,5,0,0,0,0,0,0,0,0.0,4.0,2.0,2.14,2.43
2023-02-06,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,47.27,46.34,48.85,46.34,47.49,48.85,0.039,0,1.0501,3.53,2.38,2.51,0.0529,0,0,2,1,6,0,0,0,0,0,0,0,2.0,3.0,5.0,1.86,2.43
2023-02-07,SKU-001,Mochila trail 20L,Mochilas,Shopify,4,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,199.48,111.48,42.17,46.16,49.84,42.17,46.06,49.84,-0.1637,1,1.0827,7.7,3.81,7.67,0.1665,1,0,2,1,6,0,0,0,0,0,0,0,2.0,1.0,3.0,1.71,2.33
2023-02-08,SKU-001,Mochila trail 20L,Mochilas,Shopify,3,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,149.61,83.61,45.8,47.68,47.14,45.8,46.87,47.68,-0.0258,0,1.064,4.07,3.0,1.88,0.0401,2,0,2,1,6,0,0,0,0,0,0,0,4.0,3.0,0.0,2.14,2.37
2023-02-09,SKU-001,Mochila trail 20L,Mochilas,Shopify,0,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,0.0,0.0,41.84,44.33,45.28,41.84,43.82,45.28,-0.1943,1,1.1381,8.03,6.05,3.44,0.0785,3,0,2,1,6,0,0,0,0,0,0,0,3.0,4.0,1.0,2.14,2.47
2023-02-10,SKU-001,Mochila trail 20L,Mochilas,Shopify,1,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,49.87,27.87,44.84,48.16,46.47,44.84,46.49,48.16,-0.0625,1,1.0727,5.03,3.38,3.32,0.0714,4,0,2,1,6,0,0,0,0,0,0,0,0.0,0.0,4.0,1.57,2.43
2023-02-11,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,43.91,49.53,49.43,43.91,47.62,49.53,-0.1543,1,1.0472,5.96,2.25,5.62,0.118,5,1,2,1,6,0,0,0,0,0,0,0,1.0,0.0,3.0,1.71,2.33
2023-02-12,SKU-001,Mochila trail 20L,Mochilas,Shopify,1,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,49.87,27.87,46.05,44.15,50.17,44.15,46.79,50.17,-0.1673,1,1.0658,5.72,3.08,6.02,0.1287,6,1,2,1,6,0,0,0,0,0,0,0,2.0,2.0,3.0,2.0,2.3
2023-02-13,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,45.27,52.37,48.38,45.27,48.67,52.37,-0.1399,1,1.0247,4.6,1.2,7.1,0.1459,0,0,2,1,7,0,0,0,0,0,0,0,1.0,2.0,6.0,1.86,2.23
2023-02-14,SKU-001,Mochila trail 20L,Mochilas,Shopify,1,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,49.87,27.87,41.72,44.08,45.76,41.72,43.85,45.76,-0.187,1,1.1373,8.15,6.02,4.04,0.0921,1,0,2,1,7,0,0,0,0,0,0,0,2.0,4.0,3.0,1.86,2.1
2023-02-15,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,47.42,46.44,45.97,45.97,46.61,47.42,-0.0847,1,1.0699,3.9,3.26,1.45,0.0311,2,0,2,1,7,0,0,0,0,0,0,0,1.0,3.0,4.0,1.43,2.03
2023-02-16,SKU-001,Mochila trail 20L,Mochilas,Shopify,3,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,149.61,83.61,42.33,50.65,52.16,42.33,48.38,52.16,-0.2201,1,1.0308,7.54,1.49,9.83,0.2032,3,0,2,1,7,0,0,0,0,0,0,0,2.0,0.0,1.0,1.29,1.97
2023-02-17,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,48.35,51.62,48.76,48.35,49.58,51.62,-0.0456,0,1.0058,1.52,0.29,3.27,0.066,4,0,2,1,7,0,0,0,0,0,0,0,3.0,1.0,1.0,1.71,2.03
2023-02-18,SKU-001,Mochila trail 20L,Mochilas,Shopify,1,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,49.87,27.87,44.95,51.34,47.78,44.95,48.02,51.34,-0.1479,1,1.0385,4.92,1.85,6.39,0.1331,5,1,2,1,7,0,0,0,0,0,0,0,2.0,2.0,2.0,1.86,2.07
2023-02-19,SKU-001,Mochila trail 20L,Mochilas,Shopify,0,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,0.0,0.0,48.15,44.73,47.78,44.73,46.89,48.15,-0.1472,1,1.0636,5.14,2.98,3.42,0.0729,6,1,2,1,7,0,0,0,0,0,0,0,1.0,1.0,1.0,1.71,2.03
2023-02-20,SKU-001,Mochila trail 20L,Mochilas,Shopify,2,49.9,49.87,22.0,27.87,0.5589,27.5,0.001,0,99.74,55.74,43.26,46.86,50.95,43.26,47.02,50.95,-0.1452,1,1.0606,6.61,2.85,7.69,0.1635,0,0,2,1,8,0,0,0,0,0,0,0,0.0,2.0,2.0,1.57,2.0
